Name,Version,Summary,License,Homepage
glib,2.54.3,GLib,GPLv2,https://www.gtk.org
global,6.6.3,GNU Global,GPLv3,https://www.gnu.org/software/global
gloox,1.0.18,Gloox,GPL,http://camaya.net/gloox
gmp,6.1.2,GNU MP,GPLv2/LGPLv3,https://gmplib.org
gnuchess,6.2.5,GNU Chess,GPLv3,https://www.gnu.org/software/chess
gnupg,2.0.30,GnuPG,GPLv3,http://gnupg.org
gnuplot,5.2.2,Gnuplot,Gnuplot license,http://www.gnuplot.info
gnutls,3.6.5,GnuTLS,LGPLv2.1+,https://gnutls.org
go,1.7.5,Go Language,BSD,http://golang.org
gperftools,2.6.3,Gperftools,BSD,https://github.com/gperftools/gperftools
gputils,1.5.0,GNU PIC Utilities,GPL,http://gputils.sourceforge.net
grap,1.45,Grap,BSD,http://www.lunabase.org/~faber/Vault/software/grap
grep,3.3,GNU Grep,GPLv3,https://www.gnu.org/software/grep
gsasl,1.8.0,GNU SASL,GPL,http://www.gnu.org/software/gsasl
gtypist,2.9.5,GNU Typist,GPLv3,http://www.gnu.org/software/gtypist
guile,2.0.13,GNU Guile,LGPLv2,https://www.gnu.org/software/guile
gyp,1.0,GYP,GPL,https://gyp.gsrc.io
gzip,1.8,GNU Gzip,GPL,http://www.gnu.org/software/gzip
haproxy,1.7.2,HAProxy,GPL/LGPL,http://www.haproxy.org
hello,2.10,GNU Hello,GPLv3,https://www.gnu.org/software/hello
hexedit,1.2.13,Hexedit,GPL,http://www.chez.com/prigaux/hexedit.html
htmldoc,1.8.28,HTMLDOC,GPL,http://www.htmldoc.org
httpd,2.4.2,Apache HTTPd,Apache,http://httpd.apache.org
httptunnel,3.3,Httptunnel,GPL,http://www.nocrew.org/software/httptunnel
hunspell,1.7.0,Hunspell,MPL,https://hunspell.github.io
idutils,4.6,GNU ID Utils,GPL,https://www.gnu.org/software/idutils
iftop,1.0,iftop,GPL,http://www.ex-parrot.com/pdw/iftop
imagemagick,6.8.6,ImageMagick,Apache 2.0,http://www.imagemagick.org
imake,1.0.7,imake,MIT,https://www.x.org
imap,2007f,IMAP UW,Apache License 2.0,http://www.washington.edu/imap
inetutils,1.9.4,GNU Inetutils,GPLv3,http://www.gnu.org/software/inetutils
intltool,0.51.0,Internationalization Tool Collection,GPL,https://launchpad.net/intltool
iperf,3.6,Iperf,BSD,https://github.com/esnet/iperf
irssi,1.0.1,Irssi,GPL,http://irssi.org
isl,0.20,ISL,MIT,http://isl.gforge.inria.fr
ispell,3.4.00,Ispell,BSD-Like,https://www.cs.hmc.edu/~geoff/ispell.html
jasper,2.0.10,Jasper,JasPer,http://www.ece.uvic.ca/~frodo/jasper
jed,0.99,JED,,http://www.jedsoft.org/jed
jemalloc,4.4.0,Jemalloc,BSD-derived,http://www.canonware.com/jemalloc
jhead,3.00,Jpeg Header Manipulation,Public Domain,http://www.sentex.net/~mwandel/jhead
joe,4.6,JOE,GPLv2,http://joe-editor.sourceforge.net
jp2a,1.0.6,JPEG to ASCII,GPL,https://csl.name/jp2a
jq,1.5,jq,MIT,https://github.com/stedolan/jq
jquery,3.1.1,jQuery,MIT,https://jquery.com
json-c,0.12.1,JSON-C,BSD,https://github.com/json-c/json-c
jython,2.7,Jython,Python License,http://www.jython.org
kconfig-frontends,4.11.0.1,kconfig frontends,GPL,http://ymorin.is-a-geek.org/projects/kconfig-frontends
lame,3.99.5,LAME,LGPL,http://lame.sourceforge.net
latex2rtf,2.3.17,LaTex to RTF,GPLv2,http://www.gnu.org/software/gtypist
lcms,2.6,Little CMS,MIT,http://www.littlecms.com
lftp,4.8.4,LFTP,GPL,http://lftp.yar.ru
libao,1.2.0,Libao,GPL,http://xiph.org/ao
libcerf,1.11,libcerf,GPLv3,http://apps.jcns.fz-juelich.de/doku/sc/libcerf
libdnet,1.12,Dumb Networking Library,BSD,https://github.com/dugsong/libdnet
libev,4.22,Libev,BSD|GPLv2+,http://software.schmorp.de/pkg/libev
libev,4.33,Libev,BSD|GPLv2+,http://software.schmorp.de/pkg/libev
libevent,2.1.8,LibEvent,BSD,https://libevent.org
libffi,3.2.1,LibFFI,MIT,https://sourceware.org/libffi
libgsasl,1.8.0,GNU SASL Library,GPL,http://www.gnu.org/software/gsasl
libidn,1.33,GNU IDN Library,GPL+LGPL,http://www.gnu.org/software/libidn
libintl,0.21,GNU libintl,GPLv3,https://www.gnu.org/software/gettext
libintl,0.20.1,GNU libintl,GPLv3,https://www.gnu.org/software/gettext
libjpeg,9c,LibJPEG,BSD-like,http://www.ijg.org
libmemcached,1.0.18,libMemcached,BSD,http://libmemcached.org
libntlm,1.4,Libntlm,LGPL,http://www.nongnu.org/libntlm
libogg,1.3.2,LibOgg,BSD,http://www.xiph.org/ogg
liboop,1.0,Liboop,LGPL,http://www.lysator.liu.se/liboop
libpcap,1.6.2,Libpcap,BSD,http://www.tcpdump.org
libpipeline,1.4.0,Libpipeline,GPL,http://www.nongnu.org/libpipeline
libpng,1.6.14,PNG,BSD,http://www.libpng.org/pub/png
libpsl,0.20.2,LibPSL,MIT,https://github.com/rockdaboot/libpsl
libressl,2.9.2,LibreSSL,OpenSSL License,https://www.libressl.org
librsync,0.9.7,Librsync,LGPL,http://librsync.sourceforge.net
libsigcpp,2.2.10,Libsigc++,LGPL,http://libsigc.sourceforge.net
libsigsegv,2.10,GNU libsigsegv,GPL,http://www.gnu.org/software/libsigsegv
libssh2,1.6.0,SSH Library,BSD,http://www.libssh2.org
libtiff,4.0.3,LibTIFF,BSD,http://www.remotesensing.org/libtiff
libtool,2.4.6,GNU Libtool,GPLv2,https://www.gnu.org/software/libtool
libtorrent,0.13.2,libTorrent,GPL,http://libtorrent.rakshasa.no
libunistring,0.9.10,GNU libunistring,GPLv3,https://www.gnu.org/software/libunistring
